BCI3_Flow Step 4 Mean,BCI3_Flow Step 4 Max,BCI3_Flow Step 4 Min,BCI3_Flow Step 4 STD,BCI3_Flow Step 5 Mean,BCI3_Flow Step 5 Max,BCI3_Flow Step 5 Min,BCI3_Flow Step 5 STD,CI2_Flow Step 4 Mean,CI2_Flow Step 4 Max,CI2_Flow Step 4 Min,CI2_Flow Step 4 STD,CI2_Flow Step 5 Mean,CI2_Flow Step 5 Max,CI2_Flow Step 5 Min,CI2_Flow Step 5 STD,RF_Btm_Pwr Step 4 Mean,RF_Btm_Pwr Step 4 Max,RF_Btm_Pwr Step 4 Min,RF_Btm_Pwr Step 4 STD,RF_Btm_Pwr Step 5 Mean,RF_Btm_Pwr Step 5 Max,RF_Btm_Pwr Step 5 Min,RF_Btm_Pwr Step 5 STD,RF_Btm_Rfl_Pwr Step 4 Mean,RF_Btm_Rfl_Pwr Step 4 Max,RF_Btm_Rfl_Pwr Step 4 Min,RF_Btm_Rfl_Pwr Step 4 STD,RF_Btm_Rfl_Pwr Step 5 Mean,RF_Btm_Rfl_Pwr Step 5 Max,RF_Btm_Rfl_Pwr Step 5 Min,RF_Btm_Rfl_Pwr Step 5 STD,Endpt_A Step 4 Mean,Endpt_A Step 4 Max,Endpt_A Step 4 Min,Endpt_A Step 4 STD,Endpt_A Step 5 Mean,Endpt_A Step 5 Max,Endpt_A Step 5 Min,Endpt_A Step 5 STD,He_Press Step 4 Mean,He_Press Step 4 Max,He_Press Step 4 Min,He_Press Step 4 STD,He_Press Step 5 Mean,He_Press Step 5 Max,He_Press Step 5 Min,He_Press Step 5 STD,Pressure Step 4 Mean,Pressure Step 4 Max,Pressure Step 4 Min,Pressure Step 4 STD,Pressure Step 5 Mean,Pressure Step 5 Max,Pressure Step 5 Min,Pressure Step 5 STD,RF_Tuner Step 4 Mean,RF_Tuner Step 4 Max,RF_Tuner Step 4 Min,RF_Tuner Step 4 STD,RF_Tuner Step 5 Mean,RF_Tuner Step 5 Max,RF_Tuner Step 5 Min,RF_Tuner Step 5 STD,RF_Load Step 4 Mean,RF_Load Step 4 Max,RF_Load Step 4 Min,RF_Load Step 4 STD,RF_Load Step 5 Mean,RF_Load Step 5 Max,RF_Load Step 5 Min,RF_Load Step 5 STD,RF_Phase_Err Step 4 Mean,RF_Phase_Err Step 4 Max,RF_Phase_Err Step 4 Min,RF_Phase_Err Step 4 STD,RF_Phase_Err Step 5 Mean,RF_Phase_Err Step 5 Max,RF_Phase_Err Step 5 Min,RF_Phase_Err Step 5 STD,RF_Pwr Step 4 Mean,RF_Pwr Step 4 Max,RF_Pwr Step 4 Min,RF_Pwr Step 4 STD,RF_Pwr Step 5 Mean,RF_Pwr Step 5 Max,RF_Pwr Step 5 Min,RF_Pwr Step 5 STD,RF_Impedance Step 4 Mean,RF_Impedance Step 4 Max,RF_Impedance Step 4 Min,RF_Impedance Step 4 STD,RF_Impedance Step 5 Mean,RF_Impedance Step 5 Max,RF_Impedance Step 5 Min,RF_Impedance Step 5 STD,TCP_Tuner Step 4 Mean,TCP_Tuner Step 4 Max,TCP_Tuner Step 4 Min,TCP_Tuner Step 4 STD,TCP_Tuner Step 5 Mean,TCP_Tuner Step 5 Max,TCP_Tuner Step 5 Min,TCP_Tuner Step 5 STD,TCP_Phase_Err Step 4 Mean,TCP_Phase_Err Step 4 Max,TCP_Phase_Err Step 4 Min,TCP_Phase_Err Step 4 STD,TCP_Phase_Err Step 5 Mean,TCP_Phase_Err Step 5 Max,TCP_Phase_Err Step 5 Min,TCP_Phase_Err Step 5 STD,TCP_Impedance Step 4 Mean,TCP_Impedance Step 4 Max,TCP_Impedance Step 4 Min,TCP_Impedance Step 4 STD,TCP_Impedance Step 5 Mean,TCP_Impedance Step 5 Max,TCP_Impedance Step 5 Min,TCP_Impedance Step 5 STD,TCP_Top_Pwr Step 4 Mean,TCP_Top_Pwr Step 4 Max,TCP_Top_Pwr Step 4 Min,TCP_Top_Pwr Step 4 STD,TCP_Top_Pwr Step 5 Mean,TCP_Top_Pwr Step 5 Max,TCP_Top_Pwr Step 5 Min,TCP_Top_Pwr Step 5 STD,TCP_Rfl_Pwr Step 4 Mean,TCP_Rfl_Pwr Step 4 Max,TCP_Rfl_Pwr Step 4 Min,TCP_Rfl_Pwr Step 4 STD,TCP_Rfl_Pwr Step 5 Mean,TCP_Rfl_Pwr Step 5 Max,TCP_Rfl_Pwr Step 5 Min,TCP_Rfl_Pwr Step 5 STD,TCP_Load Step 4 Mean,TCP_Load Step 4 Max,TCP_Load Step 4 Min,TCP_Load Step 4 STD,TCP_Load Step 5 Mean,TCP_Load Step 5 Max,TCP_Load Step 5 Min,TCP_Load Step 5 STD,Vat_Valve Step 4 Mean,Vat_Valve Step 4 Max,Vat_Valve Step 4 Min,Vat_Valve Step 4 STD,Vat_Valve Step 5 Mean,Vat_Valve Step 5 Max,Vat_Valve Step 5 Min,Vat_Valve Step 5 STD,Label
751.52,753,751,0.54198,751.76,752,750,0.47055,753.21,755,751,0.69555,753.18,755,751,0.81144,133.73,141,129,2.0109,133.28,136,131,1.5224,0.019231,1,0,0.13868,0.019231,1,0,0.13868,1446.3,1627,586,321.46,856.82,1023,541,183.23,100.67,102,99,0.7598,100.69,102,99,0.82916,1188.2,1229,1144,12.057,1186,1222,1178,6.8862,9419,9502,9368,30.941,9456.8,9519,9383,33.901,9066.7,9144,9009,31.741,9038.1,9133,8972,44.708,-820.52,1343,-2202,747.92,135.35,1158,-1538,818.4,24.096,26,22,0.91308,21.579,25,20,1.7184,16487,16960,16007,196.21,16685,17383,15997,283.62,19486,20226,19328,233.9,19783,20342,19298,379.17,25.212,1738,-853,471.95,-74.5,666,-629,296.71,16612,17366,15744,305.7,16553,16926,16120,207.07,350.06,360,342,4.7627,350.68,360,342,5.6046,0.19231,1,0,0.39796,0.076923,1,0,0.27175,27821,28178,27262,180.54,27482,28014,27080,242.3,48.981,50,48,0.36997,49.773,50,49,0.42893,0
751.7,752,751,0.46291,751.76,752,750,0.46997,753.12,755,752,0.659,753.15,755,752,0.7178,133.18,137,129,1.7225,133.43,136,131,1.1181,0.02,1,0,0.14142,0,0,0,0,1482.5,1716,588,336.91,853.49,1034,551,186.28,100.5,102,99,0.70711,100.89,102,100,0.74536,1188.2,1230,1151,12.483,1186.7,1220,1179,7.9479,9427.2,9486,9372,28.992,9443.5,9563,9377,43.41,9058.2,9161,8978,34.098,9041.5,9115,8966,36.802,-942.68,1149,-2278,800.76,-116.7,1510,-2383,892.2,23.28,25,22,0.96975,22.029,25,20,1.7233,16586,17047,16122,217.86,16641,17283,15907,321.99,19481,20162,19296,238.11,19812,20334,19270,363.65,-11.94,2190,-733,450.81,-127.93,830,-695,396.23,16557,17084,15736,284.91,16547,16846,16038,208.59,348.58,358,339,4.8868,350.28,359,342,5.1439,0.22,1,0,0.41845,0.043478,1,0,0.20851,27844,28022,27246,158.87,27387,27784,27118,167.41,48.98,50,48,0.3188,49.684,50,49,0.47757,0
751.47,752,751,0.50423,751.73,753,751,0.48893,753.31,756,752,0.82169,753.11,754,752,0.69781,133.37,136,126,2.0176,133.14,135,131,1.1665,0,0,0,0,0,0,0,0,1526.7,1761,590,336.31,860.26,1039,548,187.46,100.65,102,99,0.96934,100.6,102,100,0.75076,1187.4,1225,1148,12.484,1186.3,1221,1178,7.0444,9431.3,9492,9380,30.994,9458.7,9558,9402,38.792,9054.9,9176,8988,38.415,9035.3,9129,8983,35.182,-1071.7,1313,-2576,901.05,-210.78,1073,-1762,814.29,23.204,25,22,0.7354,22.286,25,19,1.9338,16570,17073,16129,238.76,16572,17243,15932,370.69,19452,20196,19288,231.55,19795,20308,19258,368.67,-30.327,964,-593,315.86,-69.828,872,-767,400.28,16551,17374,15814,321.97,16572,16994,16102,208.38,348.53,361,340,4.7919,350.84,360,341,5.014,0.26531,1,0,0.44607,0,0,0,0,27858,28126,27258,173.83,27375,27806,27044,180.98,49,50,48,0.28868,49.632,50,49,0.49559,0
751.6,752,751,0.4942,751.78,752,751,0.41964,753.06,754,750,0.78296,753.25,754,752,0.58995,133.08,137,129,1.7964,132.92,135,131,1.4119,0,0,0,0,0,0,0,0,1527.1,1774,591,357.41,865.7,1048,545,192.83,100.52,102,99,0.71428,100.82,102,100,0.78571,1187.9,1231,1153,13.179,1186.4,1222,1178,7.1361,9429.1,9484,9370,29.35,9447.1,9528,9390,42.351,9055.5,9134,9004,31.06,9035.1,9093,8972,36.304,-1080.5,808,-2859,813.73,-100.72,1305,-1924,906.11,23.333,26,22,0.83369,22.118,25,19,2.0415,16535,16842,16214,175.1,16589,17301,16079,327.53,19454,20194,19272,243.61,19800,20322,19238,370.92,-95.313,920,-821,419.74,-139.68,624,-834,356.97,16592,17048,15874,284.25,16521,16938,16132,200.95,349.52,360,342,4.1101,350.21,359,342,4.5395,0.25,1,0,0.43759,0.090909,1,0,0.29424,27828,28104,27248,159.91,27391,27642,26986,172.2,49.021,50,48,0.32548,49.611,50,49,0.50163,0
751.61,753,751,0.53293,751.78,752,751,0.41964,753.22,755,751,0.68512,753.1,754,751,0.7478,133.27,136,131,1.2711,133.08,135,131,1.2262,0,0,0,0,0,0,0,0,1533.6,1788,593,367.33,876.7,1051,549,195.44,100.39,102,99,0.73076,100.64,102,100,0.71823,1188.4,1234,1146,14.497,1186.7,1234,1179,8.8043,9436.4,9488,9379,30.469,9439.1,9504,9385,33.814,9050.1,9146,8985,36.415,9038.5,9134,8968,40.346,-907.16,915,-2638,887.76,130.33,1188,-1359,818.99,23.367,26,22,0.85863,21.824,25,20,1.85,16569,17007,16233,210.95,16641,17161,15853,341.53,19459,20174,19264,241.28,19774,20350,19226,390.09,20.367,1474,-1030,441.49,-122.11,612,-521,253.83,16615,17170,16022,261.97,16505,16776,15942,190.79,348.88,361,338,5.7902,349.42,358,341,5.1408,0.16327,1,0,0.37344,0.090909,1,0,0.29424,27833,28138,27250,169.37,27411,27898,27094,187.94,49.041,50,48,0.35114,49.722,50,49,0.46089,0
751.51,752,750,0.54476,751.86,752,751,0.35309,753.33,755,751,0.77427,753.13,754,752,0.58427,133.24,141,130,2.0466,133.13,136,131,1.2838,0,0,0,0,0,0,0,0,1544.5,1802,588,370.11,879.13,1055,551,191.81,100.55,102,99,0.70891,100.63,102,100,0.71051,1189.5,1237,1157,14.354,1186.6,1223,1177,7.193,9434.8,9493,9377,25.615,9452.1,9506,9385,35.207,9046,9114,8946,34.074,9031.8,9147,8963,41.473,-808.51,1801,-2381,746.71,-55.158,954,-1511,725.34,23.694,27,23,0.93995,22.333,25,20,1.7238,16541,17090,16042,232.06,16610,17147,16027,278.59,19458,20204,19254,242.65,19750,20348,19198,370.46,8.6531,1438,-987,446.43,-125.27,794,-656,350.91,16485,17016,15392,280.01,16551,16842,16174,212.4,349.8,361,339,5.5452,350.5,357,342,4.3382,0.26531,1,0,0.44607,0.041667,1,0,0.20412,27818,28022,27284,152.26,27429,27934,27066,224.15,49.061,50,48,0.31677,49.65,50,49,0.48936,0
751.53,752,751,0.50423,751.85,752,751,0.35581,753.2,755,751,0.76321,753.3,754,751,0.69573,133.06,136,130,1.4202,133.31,135,131,1.3489,0,0,0,0,0,0,0,0,1555.1,1808,586,371.29,875.94,1058,562,193.15,100.78,102,99,0.87238,100.64,102,100,0.71209,1188.8,1233,1147,15.294,1187,1231,1178,7.9806,9434.6,9503,9367,35.993,9453.1,9539,9386,39.409,9049.7,9111,8984,35.283,9031.1,9108,8968,38.82,-817.27,1407,-2194,838.6,-92.162,1254,-1733,723.04,23.776,26,23,0.96318,22.429,25,20,1.7369,16591,17286,16117,238.71,16608,17189,15861,309.59,19446,20202,19210,268.8,19793,20438,19164,384.57,-38.98,1002,-1060,389.57,-52.655,1016,-780,382.13,16538,17010,15524,318.14,16516,17072,15906,259.03,349.73,360,342,5.6339,349,357,342,4.4721,0.32653,1,0,0.4738,0.086957,1,0,0.2881,27837,28024,27342,150.85,27418,27820,27108,157.92,49,50,48,0.28868,49.737,50,49,0.45241,0
751.57,752,751,0.5,751.84,753,751,0.42004,753.2,757,750,1.0202,753.13,754,752,0.62134,133.14,136,126,1.9579,133.16,136,131,1.3323,0.020408,1,0,0.14286,0,0,0,0,1567,1816,583,370.52,880.91,1061,554,192.23,100.65,102,99,0.75142,100.56,102,99,0.72474,1188.2,1231,1154,14.475,1187,1222,1176,7.4242,9449.6,9505,9387,28.542,9453.9,9567,9393,41.056,9051,9115,9008,28.251,9032.8,9144,8961,41.462,-824.63,1031,-2769,816.89,-40.027,1225,-1468,723.18,23.51,26,23,0.79379,22.514,26,20,1.7383,16641,17064,16265,203.52,16640,17351,15993,350.12,19456,20308,19208,272.07,19777,20438,19070,405.84,5.2857,1276,-938,437.98,-86.828,854,-672,376.85,16452,17204,15462,309.72,16515,16862,16112,207.46,349.31,360,340,4.4074,349.08,356,342,3.9992,0.20408,1,0,0.40721,0.17391,1,0,0.38755,27806,28018,27258,168.26,27440,27882,27102,185.43,49,50,48,0.28868,49.737,50,49,0.45241,0
751.58,752,751,0.49822,751.76,753,751,0.46997,753.19,754,752,0.78973,753.13,755,751,0.89952,133.21,137,129,1.688,133.16,136,131,1.3619,0,0,0,0,0,0,0,0,1573.5,1815,600,364.66,879.51,1062,554,195.39,100.48,102,99,0.79866,100.62,102,99,0.7772,1187.5,1235,1151,14.576,1186.4,1235,1179,8.7427,9436.1,9508,9391,27.046,9464.6,9567,9404,37.927,9052.4,9121,8990,29.657,9030.5,9133,8976,39.33,-945.79,1533,-2889,900,-163.49,1118,-1970,810.75,24.125,27,23,1.0644,22.8,25,21,1.8598,16552,16967,16150,189.67,16545,17226,15978,284.75,19443,20406,19152,273.02,19795,20462,19034,415.8,-9.375,980,-922,361.65,-8.6207,1008,-747,503.91,16469,16908,15882,248.62,16501,16880,16152,198.04,348.79,360,338,5.2631,349.48,358,342,4.9254,0.35417,1,0,0.48332,0.13043,1,0,0.34435,27840,28092,27214,159.67,27426,27798,26988,205.07,49.021,50,48,0.32548,49.737,50,49,0.45241,0
751.63,752,751,0.48925,751.8,753,751,0.49065,753.29,755,752,0.68287,753.29,755,751,0.74981,133.65,137,130,1.7196,133.36,136,131,1.3365,0,0,0,0,0,0,0,0,1573.3,1824,591,377.4,875.48,1059,554,194.04,100.6,102,99,0.76463,100.7,102,100,0.70148,1189.7,1242,1153,16.249,1187.1,1231,1180,9.0737,9442.9,9507,9394,25.658,9463.6,9559,9401,33.074,9055,9125,8987,29.193,9031.4,9108,8948,37.119,-975.58,989,-2440,796.34,-660.94,478,-2049,558.37,24.25,26,23,0.69954,23.088,25,21,1.2399,16450,17016,16063,250.42,16556,17097,15883,293.72,19443,20348,19136,287.94,19787,20412,19064,406.77,84.5,1042,-801,449.31,-168.36,538,-685,334.07,16548,17256,15664,275.42,16624,17052,16026,241.45,349.77,359,343,4.1883,348.71,358,340,4.9824,0.25,1,0,0.43759,0.13636,1,0,0.35125,27796,27928,27354,131.05,27395,27602,27070,151.69,49.021,50,48,0.32548,49.778,50,49,0.42779,0
